Date,Open,High,Low,Close,Volume
20230707,367.23,370.48,366.01,366.24,329002
20230710,365.96,367.05,363.41,366.36,317199
20230711,366.79,368.64,364.62,368.17,294647
20230712,372.34,374.19,370.3,372.82,430691
20230713,376.05,379.99,375.46,379.15,348086
20230714,379.59,382.86,378.18,379.07,393762
20230717,379.8,383.5,379.31,382.61,283555
20230718,381.95,387.13,380.0,385.74,416386
20230719,386.82,387.98,384.3,385.65,386670
20230720,382.61,384.1,375.72,376.76,514879
20230721,379.18,379.92,375.19,375.63,401790
20230724,376.62,377.58,374.34,376.23,274039
20230725,376.95,380.47,376.93,378.78,236830
20230726,377.72,379.24,375.18,377.52,346809
20230727,383.07,384.71,375.31,376.62,454871
20230728,380.74,384.52,380.22,383.48,370091
20230731,383.79,384.88,382.34,383.68,282946
20230801,382.31,383.56,380.69,382.79,266674
20230802,379.24,379.26,373.13,374.39,483303
20230803,371.94,375.95,371.77,373.79,316243
20230804,375.75,378.1,371.53,372.04,431881
20230807,373.89,375.29,371.51,375.19,252998
20230808,372.65,372.66,368.82,372.0,327725
20230809,372.29,372.45,367.14,367.91,362424
20230810,370.97,374.36,367.03,368.59,443069
20230811,365.99,368.0,364.69,366.24,343843
20230814,365.44,370.47,364.7,370.35,300759
20230815,369.36,370.17,365.74,366.42,299779
20230816,365.87,367.43,362.44,362.54,391005
20230817,363.95,364.31,358.16,358.58,458646
20230818,355.26,359.41,354.71,358.13,422740
20230821,359.6,364.59,359.15,363.9,362497
20230822,366.55,366.56,362.68,363.38,306159
20230823,364.56,370.22,364.36,369.11,315359
20230824,372.64,372.74,361.01,361.22,508649
20230825,362.07,365.74,358.58,364.02,534018
20230828,366.99,367.71,364.25,366.76,330452
20230829,366.56,375.13,366.23,374.77,441105
20230830,374.89,377.45,373.86,376.86,313402
20230831,376.94,379.72,376.86,377.99,253103
20230901,380.4,380.83,376.08,377.59,269884
20230905,376.77,379.31,375.83,378.07,240529
20230906,377.28,377.63,372.7,374.74,333562
20230907,370.19,372.85,369.15,372.06,351763
20230908,372.01,374.85,371.6,372.58,260013
20230911,375.66,377.49,373.66,376.97,275971
20230912,375.28,376.68,372.5,372.79,283586
20230913,373.03,375.84,371.88,374.21,305746
20230914,375.97,378.27,373.89,377.27,304148
20230915,375.91,376.32,369.86,370.81,420705
20230918,369.32,371.79,369.03,370.66,239411
20230919,369.32,370.63,366.8,369.87,272667
20230920,370.95,371.31,364.46,364.54,355419
20230921,360.8,361.6,357.69,357.86,497918
20230922,359.63,361.8,357.59,357.91,371010
20230925,356.93,359.7,355.93,359.61,299264
20230926,356.99,357.54,353.21,354.21,408124
20230927,355.38,356.98,351.36,355.04,426692
20230928,354.1,360.17,353.24,358.01,402505
20230929,361.54,362.95,357.02,358.27,449351
20231002,358.54,362.68,357.92,361.26,384974
20231003,358.78,361.01,353.27,354.92,475520
20231004,355.76,360.61,355.3,359.75,393892
20231005,359.74,360.15,355.14,358.69,338864
20231006,355.65,365.91,354.85,364.7,552740
20231009,362.3,367.11,360.78,366.56,346467
20231010,366.91,371.28,366.39,368.59,360951
20231011,369.94,371.42,368.19,371.22,279974
20231012,371.73,373.74,367.5,369.93,381629
20231013,370.56,371.16,363.86,365.28,401531
20231016,366.63,370.48,366.47,369.41,322270
20231017,365.81,369.92,363.66,368.2,393655
20231018,365.66,367.91,362.02,363.37,420429
20231019,364.81,366.02,359.16,359.97,563082
20231020,359.48,360.04,354.37,354.6,479925
20231023,353.26,359.26,351.11,355.67,431437
20231024,357.51,359.91,355.79,359.13,328211
20231025,356.69,356.88,349.75,350.34,483550
20231026,349.12,350.07,342.35,343.66,579823
20231027,346.43,348.84,344.08,345.31,472692
20231030,347.83,350.54,346.45,349.2,396836
20231031,349.23,351.25,346.62,350.87,360356
20231101,351.72,357.53,351.62,356.96,462916
20231102,361.54,363.68,360.3,363.44,371521
